MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,TEAM_ID,TEAM_NAME,Season,FullTeamName,GamesAggregated
47.0,37.7,82.8,0.45804999999999996,7.55,21.1,0.3538,15.25,20.35,0.75105,9.5,32.45,41.95,21.45,16.1,8.65,5.9,5.1,20.4,19.85,98.2,-2.95,1.0,25.2,25.2,25.2,25.0,45.1,38.9,47.1,46.1,47.5,46.1,50.85,47.55,55.65,36.75,43.25,42.9,45.8,52.7,34.85,29.95,43.9,47.2,39.4,52.55,47.75,1.0,1610612754,Indiana Pacers,2016-17,Indiana Pacers,20
47.0,33.2,79.2,0.41965,8.0,25.1,0.31495,19.5,25.45,0.7655000000000001,10.25,30.45,40.7,17.75,15.05,8.8,5.0,5.35,24.55,23.1,93.9,-0.8,1.0,19.0,19.0,19.0,25.9,54.25,52.5,50.55,50.7,49.35,50.85,37.8,37.05,47.95,43.4,43.8,45.75,54.35,54.2,36.6,32.25,43.8,52.05,30.25,53.25,41.75,1.0,1610612763,Memphis Grizzlies,2016-17,Memphis Grizzlies,20
46.95,36.2,82.25,0.43979999999999997,10.05,29.4,0.34049999999999997,17.95,23.15,0.7738,8.2,32.25,40.45,19.2,14.35,7.05,4.8,4.0,22.7,20.4,100.4,-4.8,1.0,22.5,22.5,22.5,27.25,51.55,48.5,51.9,40.15,32.7,53.4,41.6,41.7,45.0,54.85,46.75,51.15,47.65,44.6,39.35,40.55,28.35,48.1,35.95,50.45,50.35,1.0,1610612757,Portland Trail Blazers,2016-17,Portland Trail Blazers,20
45.3,35.5,82.95,0.4276000000000001,6.95,21.9,0.31684999999999997,18.6,22.75,0.81555,13.55,32.1,45.65,18.8,12.95,7.75,3.9,4.7,18.75,19.45,96.55,6.45,1.0,13.0,13.0,13.0,32.6,54.0,52.75,52.45,44.6,44.1,46.4,37.5,41.15,37.0,30.75,50.55,44.9,58.3,39.15,38.45,47.5,41.5,48.55,37.1,53.05,33.85,1.0,1610612741,Chicago Bulls,2016-17,Chicago Bulls,20
46.6,36.15,83.65,0.4344499999999999,7.85,23.5,0.33405,20.15,27.15,0.74725,12.75,35.4,48.15,18.95,15.55,6.75,4.2,5.15,20.85,23.35,100.3,1.15,1.0,24.65,24.65,24.65,23.65,61.3,50.3,57.5,59.55,65.3,50.35,35.55,33.0,49.0,33.75,38.85,35.95,63.75,45.95,40.4,32.95,42.55,52.1,26.4,59.75,43.85,1.0,1610612743,Denver Nuggets,2016-17,Denver Nuggets,20
43.85,30.95,75.55,0.40725,8.5,23.95,0.33995000000000003,14.1,20.0,0.70935,9.4,28.05,37.45,16.75,13.8,9.0,4.65,3.95,21.05,20.25,84.5,0.05,1.0,29.2,29.2,29.2,47.35,71.85,65.65,66.3,52.4,57.5,51.95,52.15,52.45,48.5,49.95,61.5,62.75,63.0,44.6,29.45,50.9,32.6,46.1,39.9,72.95,49.5,1.0,1610612748,Miami Heat,2016-17,Miami Heat,20
46.75,35.8,82.6,0.4319,7.35,23.9,0.2995500000000001,16.4,21.3,0.7696999999999999,8.1,33.65,41.75,21.05,13.8,7.85,6.6,4.0,20.05,20.1,95.35,-4.6,1.0,25.5,25.5,25.5,26.45,51.75,51.25,52.05,54.75,54.5,55.2,44.05,45.75,36.4,43.45,45.7,47.55,45.95,43.75,39.8,32.0,37.85,52.75,35.85,51.05,46.05,1.0,1610612740,New Orleans Pelicans,2016-17,New Orleans Pelicans,20
46.1,34.8,81.7,0.42325,6.2,20.0,0.31684999999999997,16.25,21.25,0.7622,9.95,32.8,42.75,17.8,12.5,7.85,3.7,5.15,16.95,18.2,92.05,2.15,1.0,21.5,21.5,21.5,24.7,56.45,53.0,52.95,51.1,58.15,45.8,33.7,35.45,34.45,47.15,47.4,52.25,52.25,44.55,33.4,39.1,50.1,34.15,39.7,57.8,38.9,1.0666666666666667,1610612765,Detroit Pistons,2016-17,Detroit Pistons,20
46.5,35.9,82.8,0.4333499999999999,9.6,28.25,0.33865,18.15,24.3,0.75135,9.85,34.25,44.1,21.65,12.45,6.8,5.3,4.9,18.55,22.45,99.55,1.75,1.0,20.0,20.0,20.0,25.4,47.15,46.45,49.7,42.5,42.8,46.95,45.95,37.5,60.9,37.05,42.8,39.25,42.55,46.9,39.1,35.8,37.05,50.9,26.85,49.7,36.85,1.0,1610612766,Charlotte Hornets,2016-17,Charlotte Hornets,20
44.1,32.5,78.2,0.4165,8.55,26.85,0.3252,14.8,19.5,0.7724499999999999,11.1,28.85,39.95,16.35,15.15,8.5,4.05,4.15,23.2,20.95,88.35,-2.4,1.0,25.7,25.7,25.7,47.5,64.0,56.1,58.95,59.05,59.15,55.6,44.15,41.2,49.15,24.55,50.35,40.65,67.9,61.85,33.95,38.25,47.1,52.4,36.0,65.35,46.25,1.0,1610612742,Dallas Mavericks,2016-17,Dallas Mavericks,20
