TEAM_ID,Season,TARGET_WIN_PCT,MADE_PLAYOFFS,ADV_ROUND1,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,AVAILABLE_FLAG
1610612740,2016-17,0.415,0.0,0.0,46.75,35.8,82.6,0.4319,7.35,23.9,0.2995500000000001,16.4,21.3,0.7696999999999999,8.1,33.65,41.75,21.05,13.8,7.85,6.6,4.0,20.05,20.1,95.35,1.0
1610612765,2016-17,0.451,0.0,0.0,46.1,34.8,81.7,0.42325,6.2,20.0,0.3168499999999999,16.25,21.25,0.7622,9.95,32.8,42.75,17.8,12.5,7.85,3.7,5.15,16.95,18.2,92.05,1.0666666666666669
1610612766,2016-17,0.439,0.0,0.0,46.5,35.9,82.8,0.4333499999999999,9.6,28.25,0.33865,18.15,24.3,0.75135,9.85,34.25,44.1,21.65,12.45,6.8,5.3,4.9,18.55,22.45,99.55,1.0
1610612742,2016-17,0.402,0.0,0.0,44.1,32.5,78.2,0.4165,8.55,26.85,0.3252,14.8,19.5,0.7724499999999999,11.1,28.85,39.95,16.35,15.15,8.5,4.05,4.15,23.2,20.95,88.35,1.0
1610612758,2016-17,0.39,0.0,0.0,46.6,33.7,77.15,0.43295,7.35,20.5,0.3631,18.7,24.55,0.7592500000000001,8.9,30.75,39.65,18.95,16.0,7.15,3.7,5.25,22.55,22.0,93.45,1.0
1610612752,2016-17,0.378,0.0,0.0,46.35,37.15,83.85,0.43985,8.1,23.25,0.3448999999999999,14.4,19.1,0.76505,11.7,31.3,43.0,20.25,15.85,8.55,4.75,4.25,21.75,18.55,96.8,1.0
1610612753,2016-17,0.354,0.0,0.0,48.0,35.05,84.25,0.41655,7.95,24.6,0.32635,14.95,20.75,0.73065,10.55,34.35,44.9,20.5,13.7,6.35,5.65,6.05,17.95,18.9,93.0,1.0
1610612750,2016-17,0.378,0.0,0.0,44.9,34.3,77.6,0.441,8.4,23.1,0.3604,18.75,25.6,0.7399,11.25,28.05,39.3,19.25,14.4,7.4,4.1,5.1,21.8,22.8,95.75,1.0
1610612755,2016-17,0.341,0.0,0.0,44.9,33.55,77.4,0.4322999999999999,8.65,26.1,0.32515,15.15,20.65,0.7307,8.65,31.15,39.8,19.1,16.65,8.3,5.7,5.25,21.55,20.25,90.9,1.0
1610612747,2016-17,0.317,0.0,0.0,46.0,37.85,81.9,0.4611,9.35,26.0,0.36015,17.4,22.6,0.777,10.4,31.65,42.05,19.65,15.85,8.3,4.65,4.25,20.95,19.05,102.45,1.0
1610612756,2016-17,0.293,0.0,0.0,46.45,36.9,84.15,0.4382499999999999,6.95,22.2,0.31615,19.4,26.1,0.7410500000000001,11.2,32.85,44.05,17.75,15.45,9.15,3.7,5.8,26.75,22.65,100.15,1.0
1610612751,2016-17,0.244,0.0,0.0,46.1,35.2,81.45,0.43365,10.0,30.85,0.3228499999999999,18.55,23.9,0.7765500000000001,9.4,32.95,42.35,19.05,17.4,8.3,4.75,5.6,20.35,22.15,98.95,1.0
1610612745,2017-18,0.793,1.0,0.0,46.1,35.75,79.95,0.4457,13.75,40.75,0.33555,21.05,26.8,0.7887500000000001,9.9,32.9,42.8,20.75,16.6,9.3,5.1,4.45,22.9,22.4,106.3,1.0666666666666669
1610612761,2017-18,0.72,1.0,0.0,46.1,38.35,80.25,0.47835,9.95,30.05,0.33175,18.4,23.2,0.8011499999999998,8.7,31.8,40.5,21.2,15.0,8.05,5.5,4.4,22.35,20.55,105.05,1.2
1610612738,2017-18,0.671,1.0,0.0,44.8,33.9,77.45,0.4378499999999999,9.5,26.85,0.35085,16.75,23.1,0.72675,9.45,35.8,45.25,18.95,16.25,7.9,4.4,4.8,20.25,21.5,94.05,1.1666666666666667
1610612744,2017-18,0.707,1.0,0.0,45.95,39.75,81.2,0.48635,11.45,29.6,0.37995,17.65,22.75,0.7795,9.3,34.4,43.7,26.2,16.7,8.8,8.05,4.7,21.7,19.1,108.6,1.1538461538461535
1610612757,2017-18,0.598,1.0,0.0,45.05,34.85,81.6,0.4256,8.7,23.9,0.36385,18.85,24.1,0.7770999999999999,12.1,32.5,44.6,16.8,15.6,7.8,4.8,6.05,22.0,23.4,97.25,1.25
1610612755,2017-18,0.634,1.0,0.0,44.8,37.1,83.7,0.44205,11.45,31.15,0.3666,15.75,22.3,0.7081999999999999,11.25,31.75,43.0,22.25,17.6,9.45,4.35,5.9,25.15,21.65,101.4,1.0833333333333333
1610612739,2017-18,0.61,1.0,0.0,46.2,37.35,82.6,0.4522,9.6,28.25,0.33135,19.75,24.95,0.7939,9.95,33.1,43.05,19.5,15.6,7.6,4.85,4.6,20.55,23.85,104.05,1.2
1610612760,2017-18,0.585,1.0,0.0,46.0,35.85,80.35,0.44605,10.35,28.6,0.3662500000000001,16.5,22.75,0.70405,10.5,29.9,40.4,20.25,14.9,9.1,4.95,4.35,22.05,20.9,98.55,1.1333333333333333
1610612754,2017-18,0.585,1.0,0.0,46.0,39.0,82.65,0.4716,9.1,24.65,0.37045,15.45,20.5,0.7488,9.5,32.1,41.6,21.4,14.45,6.7,4.05,5.3,20.45,20.45,102.55,1.2
1610612762,2017-18,0.585,1.0,0.0,45.15,33.0,78.6,0.42135,8.65,26.45,0.32355,15.75,20.0,0.77595,9.3,30.7,40.0,17.3,16.5,9.45,6.0,5.15,20.85,20.2,90.4,1.1666666666666667
1610612748,2017-18,0.537,1.0,0.0,44.65,32.5,77.15,0.41705,9.65,28.7,0.3321,15.7,21.1,0.7427499999999999,8.6,30.2,38.8,16.8,15.95,7.25,5.0,4.1,23.35,23.05,90.35,1.1111111111111112
1610612740,2017-18,0.585,1.0,0.0,45.85,37.65,81.25,0.4632500000000001,9.25,27.35,0.3339499999999999,16.55,22.2,0.7464000000000001,9.25,34.1,43.35,21.3,16.0,7.65,4.7,4.5,20.05,21.05,101.1,1.2307692307692308
1610612759,2017-18,0.573,1.0,0.0,44.8,34.95,80.35,0.43875,8.5,24.6,0.3416499999999999,16.3,21.1,0.7742,10.95,30.75,41.7,18.95,15.1,7.85,5.1,4.5,19.7,21.45,94.7,1.1666666666666667
1610612749,2017-18,0.537,1.0,0.0,46.0,36.0,79.15,0.45265,9.25,25.9,0.3541,14.2,19.45,0.7299,7.15,30.45,37.6,20.55,14.05,7.95,5.35,4.05,22.3,18.65,95.45,1.2
1610612764,2017-18,0.524,1.0,0.0,46.25,36.35,80.85,0.4485,8.7,24.95,0.34645,20.95,26.85,0.78325,9.9,32.15,42.05,19.4,15.6,8.0,4.8,4.6,22.4,23.25,102.35,1.1333333333333333
1610612750,2017-18,0.573,1.0,0.0,46.6,36.8,83.3,0.44155,8.7,24.45,0.3587999999999999,18.3,23.35,0.7705,10.95,31.1,42.05,20.7,14.55,9.2,3.7,5.85,18.75,21.55,100.6,1.2666666666666666
1610612765,2017-18,0.476,0.0,0.0,46.7,38.05,83.85,0.45445,10.7,28.0,0.38285,13.95,18.45,0.7453,11.15,31.05,42.2,20.95,14.2,8.0,3.9,4.85,19.1,19.5,100.75,1.0666666666666669
1610612743,2017-18,0.561,0.0,0.0,45.6,37.2,83.0,0.4475999999999999,9.55,27.35,0.3450499999999999,15.5,21.15,0.7349500000000001,10.65,31.55,42.2,21.0,16.05,8.55,4.4,5.05,18.95,20.05,99.45,1.0714285714285714
